username,repo_name,stars,repo_url
mrdoob,three.js,95500,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,24400,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22200,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21600,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,18200,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,16300,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15800,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,15600,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,11200,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,10200,https://github.com/MonoGame/MonoGame
metafizzy,zdog,10100,https://github.com/metafizzy/zdog
blender,blender,10000,https://github.com/blender/blender
isl-org,Open3D,9700,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,9200,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator
nerfstudio-project,nerfstudio,7000,https://github.com/nerfstudio-project/nerfstudio
domlysz,BlenderGIS,6800,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6700,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6100,https://github.com/google/model-viewer
openscad,openscad,6000,https://github.com/openscad/openscad
